"","Taxa","GenePair","sum","total_n"
"326","A_Hokkaido_13H009_2014","HA-NA",6,3
"327","A_Hokkaido_13H009_2014","HA-PB1",6,3
"328","A_Hokkaido_13H009_2014","HA-PB2",6,3
"329","A_Hokkaido_13H009_2014","M-NS",6,3
"330","A_Hokkaido_13H009_2014","NA-NS",6,3
"331","A_Hokkaido_13H009_2014","NP-PB2",6,3
"332","A_Hokkaido_13H009_2014","NS-PB1",6,3
"333","A_Hokkaido_13H009_2014","NS-PB2",6,3
"334","A_Hokkaido_13H009_2014","PA-PB2",6,3
"335","A_Hokkaido_13H009_2014","PB1-PB2",6,3
"336","A_Hong_Kong_H090_671_V10_2009","HA-NA",6,3
"337","A_Hong_Kong_H090_671_V10_2009","NA-PA",6,3
"338","A_Hong_Kong_H090_671_V10_2009","NA-PB1",6,3
"339","A_Hong_Kong_H090_720_V31_2009","HA-NA",6,3
"340","A_Hong_Kong_H090_720_V31_2009","NA-PA",6,3
"341","A_Hong_Kong_H090_720_V31_2009","NA-PB1",6,3
"342","A_Hong_Kong_HKU14_2004","M-NA",6,5
"343","A_Hong_Kong_HKU20_2004","HA-NA",6,3
"344","A_Hong_Kong_HKU25_2004","HA-NA",6,3
"345","A_Hong_Kong_HKU31_2004","HA-NA",6,3
"346","A_Hong_Kong_HKU32_2004","HA-NA",6,3
"347","A_Hong_Kong_HKU34_2004","HA-NA",6,3
"348","A_Hong_Kong_HKU38_2004","HA-NA",6,3
"349","A_Hong_Kong_HKU40_2004","HA-NA",6,3
"350","A_Hong_Kong_HKU42_2005","HA-NA",6,3
"351","A_Hong_Kong_HKU73_2005","HA-PB2",6,3
"352","A_Illinois_NHRC0002_2005","HA-PB2",6,3
"353","A_Jeonbuk_736_2017","HA-NA",6,3
"354","A_Jeonbuk_736_2017","NA-NP",6,3
"355","A_Jeonbuk_736_2017","NA-NS",6,3
"356","A_Jeonbuk_736_2017","NA-PA",6,11
"357","A_Jeonbuk_736_2017","NA-PB1",6,6
"358","A_Jeonbuk_736_2017","NA-PB2",6,6
"359","A_Keelung_0089_2016","NA-NP",6,3
"360","A_Kentucky_26_2016","HA-M",6,5
"361","A_Kentucky_26_2016","NA-PB1",6,3
"362","A_Kentucky_26_2016","PB1-PB2",6,6
"363","A_Kyoto_13K025_2014","HA-M",6,3
"364","A_Kyoto_13K025_2014","HA-NA",6,3
"365","A_Kyoto_13K025_2014","HA-PB1",6,3
"366","A_Kyoto_13K025_2014","HA-PB2",6,3
"367","A_Kyoto_13K025_2014","M-NS",6,3
"368","A_Kyoto_13K025_2014","NA-NS",6,3
"369","A_Kyoto_13K025_2014","NP-PB2",6,3
"370","A_Kyoto_13K025_2014","NS-PB1",6,3
"371","A_Kyoto_13K025_2014","NS-PB2",6,3
"372","A_Kyoto_13K025_2014","PA-PB2",6,3
"373","A_Kyoto_13K025_2014","PB1-PB2",6,3
"374","A_Linkou_0206_2017","HA-PB2",6,5
"375","A_Linkou_0206_2017","NA-PA",6,8
"376","A_Linkou_0206_2017","NA-PB1",6,5
"377","A_Linkou_0206_2017","PB1-PB2",6,3
"378","A_Linkou_0302_2017","HA-PB2",6,3
"379","A_Louisiana_11_2014","HA-M",6,3
"380","A_Louisiana_11_2014","HA-NA",6,3
"381","A_Louisiana_11_2014","HA-PB1",6,3
"382","A_Louisiana_11_2014","HA-PB2",6,3
"383","A_Louisiana_11_2014","M-NP",6,5
"384","A_Louisiana_11_2014","M-NS",6,3
"385","A_Louisiana_11_2014","M-PA",6,3
"386","A_Louisiana_11_2014","M-PB1",6,3
"387","A_Louisiana_11_2014","NA-NP",6,6
"388","A_Louisiana_11_2014","NA-PA",6,3
"389","A_Louisiana_11_2014","NA-PB1",6,3
"390","A_Louisiana_11_2014","NP-PB2",6,6
"391","A_Louisiana_11_2014","NS-PB1",6,3
"392","A_Louisiana_11_2014","NS-PB2",6,3
"393","A_Louisiana_11_2014","PA-PB2",6,3
"394","A_Louisiana_11_2014","PB1-PB2",6,3
"395","A_Maryland_10_2017","HA-PB1",6,3
"396","A_Maryland_10_2017","NA-PA",6,8
"397","A_Maryland_10_2017","NA-PB1",6,3
"398","A_Maryland_10_2017","NA-PB2",6,3
"399","A_Maryland_31_2016","M-NS",6,3
"400","A_Maryland_31_2016","NS-PA",6,3
"401","A_Maryland_31_2016","NS-PB1",6,3
"402","A_Maryland_31_2016","NS-PB2",6,3
"403","A_Massachusetts_16_2017","NS-PB1",6,3
"404","A_Massachusetts_16_2017","PA-PB1",6,3
"405","A_Missouri_11_2014","HA-M",6,3
"406","A_Missouri_11_2014","HA-NA",6,3
"407","A_Missouri_11_2014","HA-PB1",6,3
"408","A_Missouri_11_2014","HA-PB2",6,3
"409","A_Missouri_11_2014","M-NP",6,5
"410","A_Missouri_11_2014","M-NS",6,3
"411","A_Missouri_11_2014","M-PA",6,3
"412","A_Missouri_11_2014","M-PB1",6,3
"413","A_Missouri_11_2014","NA-NP",6,6
"414","A_Missouri_11_2014","NA-PA",6,3
"415","A_Missouri_11_2014","NA-PB1",6,3
"416","A_Missouri_11_2014","NP-PB2",6,6
"417","A_Missouri_11_2014","NS-PB1",6,3
