ID,Strain,GenePair
236,A/England/532/2003,PA-PB1
237,A/England/532/2003,PA-PB2
238,A/England/547/2003,HA-NA
239,A/England/547/2003,HA-NS
240,A/England/547/2003,HA-PA
241,A/England/547/2003,HA-PB2
242,A/England/547/2003,M-NA
243,A/England/547/2003,M-PA
244,A/England/547/2003,NA-NP
245,A/England/547/2003,NA-PB1
246,A/England/547/2003,NA-PB2
247,A/England/547/2003,NP-PA
248,A/England/547/2003,NS-PA
249,A/England/547/2003,PA-PB1
250,A/England/547/2003,PA-PB2
251,A/England/558/2003,HA-NA
252,A/England/558/2003,HA-PA
253,A/England/558/2003,M-NA
254,A/England/558/2003,M-PA
255,A/England/558/2003,NA-NP
256,A/England/558/2003,NA-NS
257,A/England/558/2003,NA-PB1
258,A/England/558/2003,NA-PB2
259,A/England/558/2003,NP-PA
260,A/England/558/2003,NS-PA
261,A/England/558/2003,PA-PB1
262,A/England/558/2003,PA-PB2
263,A/England/585/2003,HA-NA
264,A/England/585/2003,HA-PA
265,A/England/585/2003,M-PB2
266,A/England/585/2003,NA-PB2
267,A/England/585/2003,NP-PB2
268,A/England/585/2003,NS-PB2
269,A/England/585/2003,PA-PB2
270,A/England/585/2003,PB1-PB2
271,A/England/944/2003,M-NA
272,A/England/944/2003,M-PA
273,A/England/944/2003,NA-NP
274,A/England/944/2003,NA-PB1
275,A/England/944/2003,NA-PB2
276,A/England/944/2003,PA-PB1
277,A/England/944/2003,PA-PB2
278,A/England/957/2003,M-NA
279,A/England/957/2003,M-PA
280,A/England/957/2003,NA-PB2
281,A/England/957/2003,PA-PB1
282,A/England/957/2003,PA-PB2
283,A/Florida/34/2017,HA-M
284,A/Florida/34/2017,HA-NP
285,A/Florida/34/2017,HA-NS
286,A/Florida/34/2017,HA-PA
287,A/Florida/34/2017,HA-PB1
288,A/Florida/34/2017,HA-PB2
289,A/Florida/34/2017,M-NA
290,A/Florida/34/2017,NA-NP
291,A/Florida/34/2017,NA-NS
292,A/Florida/34/2017,NA-PA
293,A/Florida/34/2017,NA-PB1
294,A/Florida/34/2017,NA-PB2
295,A/Florida/73/2017,HA-PB1
296,A/Florida/73/2017,M-PB1
297,A/Florida/73/2017,NA-PB1
298,A/Florida/73/2017,PA-PB1
299,A/Georgia/40/2016,HA-M
300,A/Georgia/40/2016,NA-PB1
301,A/Georgia/40/2016,PB1-PB2
302,A/Gyeonggi/458/2016,HA-NP
303,A/Gyeonggi/458/2016,HA-PA
304,A/Gyeonggi/458/2016,HA-PB1
305,A/Gyeonggi/458/2016,HA-PB2
306,A/Gyeonggi/458/2016,NA-NP
307,A/Gyeonggi/458/2016,NA-NS
308,A/Gyeonggi/458/2016,NA-PA
309,A/Gyeonggi/458/2016,NA-PB1
310,A/Gyeonggi/458/2016,NA-PB2
311,A/Gyeonggi/458/2016,NP-PA
312,A/Gyeonggi/458/2016,NP-PB1
313,A/Gyeonggi/458/2016,NP-PB2
314,A/Hawaii/39/2014,HA-M
315,A/Hawaii/39/2014,HA-NA
316,A/Hawaii/39/2014,HA-PB1
317,A/Hawaii/39/2014,HA-PB2
318,A/Hawaii/39/2014,M-NS
319,A/Hawaii/39/2014,NA-NS
320,A/Hawaii/39/2014,NP-PB2
321,A/Hawaii/39/2014,NS-PB1
322,A/Hawaii/39/2014,NS-PB2
323,A/Hawaii/39/2014,PA-PB2
324,A/Hawaii/39/2014,PB1-PB2
325,A/Hokkaido/13H009/2014,HA-M
326,A/Hokkaido/13H009/2014,HA-NA
327,A/Hokkaido/13H009/2014,HA-PB1
328,A/Hokkaido/13H009/2014,HA-PB2
329,A/Hokkaido/13H009/2014,M-NS
330,A/Hokkaido/13H009/2014,NA-NS
331,A/Hokkaido/13H009/2014,NP-PB2
332,A/Hokkaido/13H009/2014,NS-PB1
333,A/Hokkaido/13H009/2014,NS-PB2
334,A/Hokkaido/13H009/2014,PA-PB2
335,A/Hokkaido/13H009/2014,PB1-PB2
336,A/Hong Kong/H090/671/V10/2009,HA-NA
337,A/Hong Kong/H090/671/V10/2009,NA-PA
338,A/Hong Kong/H090/671/V10/2009,NA-PB1
339,A/Hong Kong/H090/720/V31/2009,HA-NA
340,A/Hong Kong/H090/720/V31/2009,NA-PA
341,A/Hong Kong/H090/720/V31/2009,NA-PB1
342,A/Hong Kong/HKU14/2004,M-NA
343,A/Hong Kong/HKU20/2004,HA-NA
344,A/Hong Kong/HKU25/2004,HA-NA
345,A/Hong Kong/HKU31/2004,HA-NA
346,A/Hong Kong/HKU32/2004,HA-NA
347,A/Hong Kong/HKU34/2004,HA-NA
348,A/Hong Kong/HKU38/2004,HA-NA
349,A/Hong Kong/HKU40/2004,HA-NA
350,A/Hong Kong/HKU42/2005,HA-NA
351,A/Hong Kong/HKU73/2005,HA-PB2
352,A/Illinois/NHRC0002/2005,HA-PB2
353,A/Jeonbuk/736/2017,HA-NA
354,A/Jeonbuk/736/2017,NA-NP
355,A/Jeonbuk/736/2017,NA-NS
356,A/Jeonbuk/736/2017,NA-PA
357,A/Jeonbuk/736/2017,NA-PB1
358,A/Jeonbuk/736/2017,NA-PB2
359,A/Keelung/0089/2016,NA-NP
360,A/Kentucky/26/2016,HA-M
361,A/Kentucky/26/2016,NA-PB1
