"","Taxa","sum","HA-M","HA-NA","HA-NP","HA-NS","HA-PA","HA-PB1","HA-PB2","M-NA","M-NP","M-NS","M-PA","M-PB1","M-PB2","NA-NP","NA-NS","NA-PA","NA-PB1","NA-PB2","NP-NS","NP-PA","NP-PB1","NP-PB2","NS-PA","NS-PB1","NS-PB2","PA-PB1","PA-PB2","PB1-PB2"
"104","A_Pennsylvania_49_2014",6,3,6,3,6,3,4,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,8,NA,NA,NA,9,NA,NA,12,NA,9,12
"105","A_Qinghai_178_2010",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA
"106","A_Scotland_78_2003",6,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,3,NA,NA
"107","A_Scotland_79_2003",6,NA,11,NA,3,6,NA,3,7,NA,NA,3,NA,NA,9,3,NA,9,9,NA,3,NA,NA,NA,NA,NA,3,3,NA
"108","A_Seoul_1595_2015",6,NA,NA,6,NA,4,8,8,NA,NA,NA,NA,NA,NA,9,6,5,9,13,NA,6,3,6,NA,NA,NA,3,9,NA
"109","A_Shanghai_1_2016",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"110","A_Shanghai_10_2017",6,NA,3,NA,6,3,3,NA,NA,NA,5,NA,NA,NA,NA,8,NA,NA,3,7,NA,NA,NA,8,6,8,NA,NA,3
"111","A_Shanghai_11_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,6,6,6,NA,NA,NA
"112","A_Shanghai_12_2017",6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,3,3,4,NA,NA,NA
"113","A_Shanghai_15_2017",6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"114","A_Shanghai_16_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,3
"115","A_Shanghai_17_2017",6,NA,NA,NA,NA,NA,NA,3,5,3,NA,7,8,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"116","A_Shanghai_18_2017",6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8,7,10,NA,NA,NA,NA,NA,NA
"117","A_Shanghai_19_2017",6,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,13,15,16,NA,6,3,NA,NA,3
