compareStrain,vaccineStrain,vaccine_code,Year,Month,Day,Dom
CY038742_A_Hong_Kong_HKU70_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,30,0
CY039214_A_Hong_Kong_HKU58_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,5,0
CY039230_A_Hong_Kong_HKU61_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,11,1
CY039238_A_Hong_Kong_HKU63_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,5,14,0
CY040345_A_Hong_Kong_HKU75_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,17,0
CY040353_A_Hong_Kong_HKU76_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,21,0
CY040361_A_Hong_Kong_HKU77_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,29,0
CY043767_A_Hong_Kong_HKU72_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,1,0
CY044404_A_Hong_Kong_HKU73_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,2,0
CY091316_A_Hong_Kong_NHRC0001_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,6,15,0
CY038758_A_Hong_Kong_HKU79_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,7,16,0
CY043775_A_Hong_Kong_HKU78_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,7,9,0
KJ855424_A_Mexico_QUE2270_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,8,11,1
CY100575_A_Mexico_InDRE2246_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,9,11,0
KJ855472_A_Mexico_TLA2227_2005,EPI358781_A_Fujian_411_2002,Fuj02,2005,9,11,0
CY172198_A_New_York_1001_2005,EPI367109_A_California_7_2004,Cal04,2005,11,10,0
CY091036_A_Illinois_NHRC0002_2005,EPI367109_A_California_7_2004,Cal04,2005,12,23,0
CY091532_A_California_NHRC0006_2005,EPI367109_A_California_7_2004,Cal04,2005,12,2,0
CY113004_A_Netherlands_548_2005,EPI367109_A_California_7_2004,Cal04,2005,12,26,0
CY172390_A_New_York_1028_2006,EPI367109_A_California_7_2004,Cal04,2006,2,20,1
CY019866_A_New_York_938_2006,EPI367109_A_California_7_2004,Cal04,2006,3,2,0
CY020372_A_New_York_938_2006,EPI367109_A_California_7_2004,Cal04,2006,3,2,0
CY114404_A_Netherlands_363_2006,EPI502253_A_Wisconsin_67_2005,Wis05,2006,12,24,0
CY039406_A_Taiwan_70002_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,1,2,0
CY039414_A_Taiwan_70113_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,1,15,0
CY025428_A_California_UR06_0347_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,19,0
CY027570_A_Texas_UR06_0358_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,20,0
CY040057_A_Taiwan_70307_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,3,0
CY114412_A_Netherlands_69_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,19,0
EPI577980_A_Brisbane_10_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,2,6,0
CY040073_A_Taiwan_2361_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,11,12,0
CY114420_A_Netherlands_348_2007,EPI502253_A_Wisconsin_67_2005,Wis05,2007,11,6,0
CY037310_A_Qatar_AF02_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,1,29,1
CY040105_A_Taiwan_70120_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,1,15,0
CY037326_A_Korea_AF05_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,2,19,0
CY044603_A_Boston_40_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,2,15,0
CY173286_A_New_York_1155_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,3,27,1
CY044827_A_Boston_88_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,4,16,1
CY113020_A_Netherlands_377_2008,EPI502253_A_Wisconsin_67_2005,Wis05,2008,9,27,1
CY147666_A_Mexico_24013_2008,EPI577980_A_Brisbane_10_2007,Bris07,2008,12,1,0
CY093316_A_Kyrgyzstan_WRAIR1256P_2008,EPI577980_A_Brisbane_10_2007,Bris07,2008,12,1,0
CY089756_A_Boston_75_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,16,0
CY093237_A_South_Korea_WRAIR1171P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,1,0
CY093348_A_Kuwait_WRAIR1561P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,1,0
CY113028_A_Netherlands_69_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,1,12,0
CY069426_A_Japan_WRAIR1140P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,2,9,0
CY089740_A_Boston_40_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,2,27,0
CY050611_A_New_York_3018_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,27,1
CY050731_A_New_York_3143_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30,0
CY064830_A_California_VRDL138_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29,0
CY068104_A_California_VRDL368_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,27,0
CY068208_A_California_VRDL170_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,28,0
CY068232_A_California_VRDL188_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29,0
CY068296_A_California_VRDL247_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29,0
CY068360_A_California_VRDL263_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30,0
CY068416_A_California_VRDL277_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,30,0
CY068640_A_California_VRDL394_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,28,0
CY068781_A_California_VRDL205_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,29,0
CY069322_A_Korea_WRAIR1038P_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,9,0
EPI577969_A_Perth_16_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,4,7,0
CY050795_A_New_York_3491_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,11,0
CY050827_A_New_York_3738_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,20,0
CY067976_A_California_VRDL339_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,4,0
CY068336_A_California_VRDL260_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,1,0
CY068480_A_California_VRDL309_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,5,2,0
CY077432_A_California_VRDL356_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,2,0
CY084416_A_New_York_3918_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,5,0
CY113044_A_Netherlands_761_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,6,25,0
CY106599_A_Hong_Kong_H090_671_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,6,1
CY106647_A_Hong_Kong_H090_689_V22_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,12,0
CY106655_A_Hong_Kong_H090_692_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,10,0
CY106703_A_Hong_Kong_H090_714_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,15,0
CY106735_A_Hong_Kong_H090_720_V31_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,24,1
CY106743_A_Hong_Kong_H090_724_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,20,0
CY106751_A_Hong_Kong_H090_724_V20_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,22,0
CY106791_A_Hong_Kong_H090_733_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,22,0
CY106847_A_Hong_Kong_H090_739_V22_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27,0
CY106863_A_Hong_Kong_H090_739_V33_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,29,0
CY106871_A_Hong_Kong_H090_741_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,24,0
CY106879_A_Hong_Kong_H090_747_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,28,0
CY115527_A_Hong_Kong_H090_689_V20_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,12,0
CY115647_A_Hong_Kong_H090_726_V10_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,20,0
CY115687_A_Hong_Kong_H090_734_V32_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27,0
CY115727_A_Hong_Kong_H090_739_V23_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,27,0
CY115735_A_Hong_Kong_H090_739_V33_2009,EPI577980_A_Brisbane_10_2007,Bris07,2009,7,29,0
KY049985_A_Qinghai_178_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,3,15,1
CY072221_A_New_York_20343_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,6,16,1
HQ664917_A_Nanjing_1655_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10,0
HQ664922_A_Nanjing_1654_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10,0
HQ664929_A_Nanjing_1663_2010,EPI577980_A_Brisbane_10_2007,Bris07,2010,9,10,0
CY093221_A_District_of_Columbia_WRAIR0300_2010,EPI577969_A_Perth_16_2009,Prth09,2010,11,17,0
MK729833_A_New_York_WC_LVD_10_001_2010,EPI577969_A_Perth_16_2009,Prth09,2010,11,4,0
CY093540_A_Mexico_City_WRAIR3579T_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,9,0
CY114516_A_Netherlands_034_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,23,0
KC882441_A_Iowa_19_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,30,0
KC882476_A_Texas_24_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,31,0
KT888262_A_Mexico_City_1514A00904139N_CP2_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,29,0
MK729873_A_New_York_WC_LVD_10_006_2010,EPI577969_A_Perth_16_2009,Prth09,2010,12,16,0
CY091580_A_Illinois_NHRC0002_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,19,0
CY091588_A_California_NHRC0001_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,14,0
CY092272_A_California_NHRC0003_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,28,0
CY092288_A_California_NHRC0002_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,16,0
CY111165_A_Boston_DOA05_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,11,0
CY114428_A_Netherlands_063_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,5,0
CY167515_A_Tennessee_F2018A_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,24,0
KC882565_A_New_Jersey_01_2011,EPI577969_A_Perth_16_2009,Prth09,2011,1,11,0
CY111309_A_Boston_DOA48_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,16,0
CY111317_A_Boston_DOA51_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,18,0
CY134520_A_Boston_DOA38_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,12,0
CY134568_A_Boston_DOA47_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,14,0
CY167571_A_Tennessee_F2031A_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,7,0
KC882641_A_Texas_06_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,5,0
KR137644_A_Bethesda_NIH12_2011,EPI577969_A_Perth_16_2009,Prth09,2011,2,15,0
CY111421_A_Boston_DOA78_2011,EPI577969_A_Perth_16_2009,Prth09,2011,3,14,0
EPI417234_A_Victoria_361_2011,EPI577969_A_Perth_16_2009,Prth09,2011,10,24,0
KT888275_A_Hong_Kong_1514A01704826T_2011,EPI577969_A_Perth_16_2009,Prth09,2011,11,15,1
KT888268_A_Amman_1514A01004465T_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,5,0
KT888283_A_Budapest_1514A07804502N_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,12,0
KT889087_A_Japan_22_2011,EPI577969_A_Perth_16_2009,Prth09,2011,12,20,1
KT888257_A_Moscow_1514A00504942N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,19,0
KT888258_A_Moscow_1514A00504950T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11,0
KT888267_A_Amman_1514A01004462T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11,0
KT888281_A_Sarajevo_1514A06604486N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,11,0
KT888944_A_Yokosuka_SE680_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,24,0
KT889082_A_Japan_17_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,31,0
KT889083_A_Korea_18_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,24,1
KT889099_A_Korea_37_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,19,0
